iter	Logloss
0	0.6370977178
1	0.5845084356
2	0.5427463331
3	0.5006042927
4	0.4670066252
5	0.4367554582
6	0.412865845
7	0.3895736226
8	0.3729207921
9	0.3540244062
10	0.3423070879
11	0.3302141255
12	0.3181281344
13	0.3040816193
14	0.2953180511
15	0.2857369514
16	0.2772512452
17	0.2708971754
18	0.2617746528
19	0.2525680392
20	0.2484187867
21	0.2439536342
22	0.2381013041
23	0.2289207226
24	0.2236229564
25	0.2174310362
26	0.2131571547
27	0.2089221178
28	0.2045070388
29	0.1990060446
30	0.1960065893
31	0.1926282603
32	0.1896953873
33	0.1860759861
34	0.1837983312
35	0.1812964626
36	0.1789137136
37	0.1749330871
38	0.1709560084
39	0.1691296377
40	0.1655397355
41	0.161173058
42	0.1582690602
43	0.155449591
44	0.1521098262
45	0.1498697238
46	0.147842267
47	0.1456102554
48	0.142451007
49	0.1410386124
50	0.1393774392
51	0.138045771
52	0.1365565358
53	0.1360235279
54	0.1339784068
55	0.1323458686
56	0.1313472346
57	0.1304146513
58	0.1277020975
59	0.1265109912
60	0.1256647906
61	0.1243243335
62	0.1234940228
63	0.1214192785
64	0.1201693941
65	0.1195237644
66	0.1186305919
67	0.117341827
68	0.1161268922
69	0.1153696666
70	0.1141815884
71	0.1123728292
72	0.111004427
73	0.1097949597
74	0.1091100992
75	0.1081518025
76	0.107411096
77	0.1063192144
78	0.1055672148
79	0.1043485919
80	0.10294942
81	0.1022671942
82	0.1014228785
83	0.1005112521
84	0.1002184325
85	0.0995919568
86	0.09915248703
87	0.09862433581
88	0.09834074607
89	0.0969706878
90	0.09629695335
91	0.0959359684
92	0.09562012069
93	0.09547951312
94	0.09501231522
95	0.09460084281
96	0.09429797004
97	0.09367511144
98	0.09284545023
99	0.0926315706
100	0.09168334943
101	0.09055819742
102	0.08998747315
103	0.08892395898
104	0.08788358797
105	0.08725649351
106	0.08684922002
107	0.08635573388
108	0.08557984113
109	0.08509551394
110	0.08483148294
111	0.08430682109
112	0.08369394462
113	0.0830837413
114	0.08282612905
115	0.08242873483
116	0.08183930896
117	0.08097793243
118	0.08055927752
119	0.0798356963
120	0.07904352681
121	0.07855184312
122	0.07836408975
123	0.07807411195
124	0.07771489808
125	0.07729922331
126	0.0764456731
127	0.07564756756
128	0.07530575175
129	0.07486469038
130	0.07465419743
131	0.07404720552
132	0.07369203113
133	0.07292961766
134	0.0725783987
135	0.07188926327
136	0.07136963695
137	0.07059522761
138	0.06988469664
139	0.06943283601
140	0.06933038834
141	0.06890250371
142	0.06819769233
143	0.06766187551
144	0.06738665045
145	0.06706620772
146	0.06644766107
147	0.06596184484
148	0.06565111967
149	0.06470082091
150	0.06440006246
151	0.06411603786
152	0.06352943398
153	0.06320522026
154	0.06266304722
155	0.06243566277
156	0.06233116592
157	0.06174767218
158	0.0614509316
159	0.06126386102
160	0.0605657495
161	0.06021183969
162	0.05999002967
163	0.05958063281
164	0.05906581489
165	0.05884802621
166	0.05851199803
167	0.05821100667
168	0.05777417465
169	0.05720842256
170	0.05690897034
171	0.05677291747
172	0.05603690006
173	0.05575428201
174	0.05520637941
175	0.05463489444
176	0.05429228213
177	0.05397686731
178	0.05355592117
179	0.05322026317
180	0.05299510676
