Model,Accuracy,F1-Score,ROC-AUC,Seconds
TabPFN,0.9241,0.9275,0.981,40.0
Stacking (LR),0.9232,0.9266,0.9807,61.0
Blend (avg 4),0.9226,0.9258,0.9799,60.0
CatBoost,0.9211,0.9243,0.9796,1.9343
TabM,0.9203,0.9237,0.9796,1637.0
XGBoost,0.9195,0.9227,0.9784,0.2746
LightGBM,0.9185,0.9218,0.9783,0.3126
Random Forest,0.9172,0.9207,0.9768,0.4704
AdaBoost,0.8668,0.8698,0.9536,2.0998
Logistic Regression,0.8643,0.8688,0.9473,6.9246
