epoch,loss_D,loss_G
1,1.1305964043011536,0.8711372273999292
2,1.3086610214130299,0.8845612471168106
3,1.2972780478967203,0.8934874942173829
4,1.2913707314310847,0.9101706678802902
5,1.2763156252938348,0.9302045248650216
6,1.2649527008469041,0.9563043563752561
7,1.2973285314199088,0.9359769792170138
8,1.2780510747754896,0.9507961667872764
9,1.3033021720680031,0.927487333561923
10,1.3054414671820562,0.9160999816817206
11,1.2990212984987208,0.9175094615768742
12,1.2945342373203588,0.9317520610384039
13,1.2998631680333936,0.9362676812184824
14,1.307344522025134,0.9022818159412693
15,1.2980177460490046,0.932065680381414
16,1.3089547785552773,0.9157546566950309
17,1.3277624674745507,0.9010051603252823
18,1.3081300149092803,0.8942836129987562
19,1.3235933278058025,0.8940290249682762
20,1.2948427058554985,0.9186807081506059
21,1.3106386626088942,0.9227573617084607
22,1.3329761002514813,0.8896047316692971
23,1.3111779908876162,0.9069237720321964
24,1.3354530253925838,0.8817237053368543
25,1.335042667388916,0.8713466697448009
26,1.3374570698351473,0.8671787808070311
27,1.3410832208556098,0.8612217054173753
28,1.346566203156033,0.8587394888336594
29,1.3425223182987522,0.8583011936497044
30,1.3459297508806796,0.8585228779831449
31,1.3460498529511529,0.853146577203596
32,1.34097478744146,0.8580146459308831
33,1.3415405772827766,0.8583793922050579
34,1.3473761825948147,0.8560129110877578
35,1.3479262049133713,0.851836606779614
36,1.3481535499160353,0.8470755346723505
37,1.351480404750721,0.8491919668945106
38,1.3516046495050997,0.8472529905873376
39,1.349109740515013,0.8499702046046386
40,1.3552953436567976,0.8405061981162509
41,1.3524557397172259,0.8392346602839392
42,1.3546686256254041,0.8378072102327605
43,1.3532486957472725,0.8392122102750315
44,1.3529670502688433,0.8421102373986631
45,1.35712691835455,0.8333758241421467
46,1.3603068825360891,0.8353944169508444
47,1.3588307486998068,0.8322430855519063
48,1.3530536400305258,0.8354634206037264
49,1.3612295089541255,0.8363636891584139
50,1.3612343050338127,0.8283126077136478
51,1.358407018635724,0.8290438885624344
52,1.3561351450713905,0.8332564060752456
53,1.3565307092022252,0.8354484825520903
54,1.360796320438385,0.8341384897360931
55,1.3578752720678176,0.8298539142350893
56,1.3560565906601982,0.8345026567175582
57,1.3572306481567589,0.8366165684687125
58,1.3593750663705775,0.8352260407563802
59,1.3607727546949644,0.8283653832770682
60,1.3577085662532498,0.8287377157726803
61,1.3603848396120846,0.8280948545481708
62,1.3632670086783332,0.8290022297485454
63,1.3584894866556734,0.8269341280331483
64,1.3647282758274595,0.8275084384389826
65,1.3638623917425001,0.8207824127094165
66,1.3632568153175149,0.823035246294898
67,1.3626265899555103,0.8264824403298868
68,1.365077159855817,0.8240952863886549
69,1.3642307929090551,0.8214648296704163
70,1.3627464091455614,0.8229884597095283
71,1.3642169362789875,0.8232051148607924
72,1.364080890771505,0.8211968207681501
73,1.3656711929553265,0.8214193814509624
74,1.366316684838888,0.8223063367444116
75,1.3662035942077637,0.8188799605176256
76,1.367115336817664,0.8203882873058319
77,1.3653121706601736,0.8181793005079836
78,1.3647143454165072,0.8198787173709354
79,1.3662614806278333,0.8205757324760025
80,1.3632244857581886,0.8189018934159665
81,1.3643921945546125,0.8232781508484402
82,1.3644750978495623,0.822120611087696
83,1.365878659325677,0.8220777497098253
84,1.367872936661179,0.8184583870140282
85,1.3664819546647975,0.8189028594944928
86,1.362277615070343,0.8177485994390539
87,1.365439072170773,0.8186956067343016
88,1.3646330269607339,0.8212310373783112
